單字,中文定義,星級,難度等級,分類,詞性,【詞性變化】,搭配詞,例句
abandon,拋棄；遺棄；放棄（計畫、責任等）,3,中階,營運管理,verb,"verb: abandon, abandons, abandoning, abandoned",,"The company decided to abandon the project due to budget constraints.
由於預算限制，公司決定放棄這個專案。"
abandoned,被遺棄的；廢棄的；（計畫、項目等）被擱置的,3,中階,營運管理,adjective,"adjective: abandoned, more abandoned, most abandoned","abandoned building 廢棄建築
abandoned vehicle 廢棄車輛","The project was abandoned due to budget cuts and lack of resources.
由於預算削減和資源不足，該項目被擱置。"
abate,（風、雨、疼痛等）減弱，緩和,2,進階,營運管理,verb,"verb: abate, abates, abating, abated",,"The storm is expected to abate by tomorrow morning.
預計明天早上風暴會減弱。"
abbreviate,縮寫；簡略化（表達方式）,3,中階,辦公日常,verb,"verb: abbreviate, abbreviates, abbreviating, abbreviated",,"To save space, we often abbreviate company names in internal memos.
為了節省空間，我們經常在內部備忘錄中縮寫公司名稱。"
abdomen,腹部；肚子,1,精熟,一般專業,noun,noun: abdomens,"abdominal pain 腹部疼痛
abdominal examination 腹部檢查","The doctor pressed lightly on the patient's abdomen.
醫生輕輕按壓了病人的腹部。"
abdominal,腹部的；與腹部相關的,2,進階,人力資源,adjective,"adjective: abdominal, more abdominal, most abdominal","abdominal pain 腹痛
abdomen 腹部","The employee reported experiencing abdominal discomfort and requested a medical leave.
這位員工報告稱腹部不適，並要求病假。"
abductor,綁架者；誘拐者,1,精熟,法務合規與安全,noun,"noun: abductor, abductors","away 離開
lead 引導","Police are searching for the abductor of the missing child.
警方正在搜尋失蹤兒童的綁架者。"
abide,忍受；遵守（規則、協議等）,3,進階,法務合規與安全,verb,"verb: abides, abiding, abided",,"All employees must abide by the company's code of conduct.
所有員工都必須遵守公司的行為準則。"
abilities,能力、技能，指完成某項任務或職責所需的才能。,4,基礎,人力資源,noun,noun: abilities,"demonstrate abilities 展現能力
technical abilities 技術能力","The company is looking for candidates with strong communication abilities.
公司正在尋找具備良好溝通能力的候選人。"
ability,能力、才能，指完成某項任務或達到特定目標所需的技能或潛力。,5,基礎,人力資源,noun,"noun: ability, abilities","exceptional ability 卓越的能力
leadership ability 領導能力","The candidate's ability to manage projects effectively impressed the hiring manager.
這位候選人有效管理專案的能力讓招聘經理印象深刻。"
able,有能力、能夠；勝任,5,入門,辦公日常,"adjective, adverb","adjective: able, more able, most able
adverb: able",,"The candidate is able to manage multiple projects simultaneously.
這位候選人能夠同時管理多個專案。"
aboard,登上（船、飛機、火車等）；在船、飛機、火車等上面,4,基礎,旅遊與交通,"adverb, preposition","adverb: aboard
preposition: aboard",,"All passengers are requested to board the flight immediately.
請所有乘客立即登上飛機。"
abolish,廢除；取消（法律、制度等）,3,進階,法務合規與安全,verb,"verb: abolish, abolishes, abolishing, abolished",,"The company decided to abolish the outdated policy to improve efficiency.
為了提高效率，公司決定廢除過時的政策。"
abort,中止；取消（計畫、程序等）,2,進階,營運管理,verb,"verb: abort, aborts, aborting, aborted",,"The project was aborted due to unforeseen budget cuts.
由於預算削減，該專案被中止。"
abortion,墮胎；中止；流產,1,精熟,法務合規與安全,noun,"noun: abortion, abortions","perform an abortion 施行墮胎
abortion rights 墮胎權","The debate over abortion rights is a complex social and ethical issue.
關於墮胎權的辯論是一個複雜的社會與倫理議題。"
